ARO Accession	CVTERM ID	Drug_Class	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	CARD Short Name	length
ARO:3003817	40507	Multidrug	Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones	AJF82744.1	CP010781.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin-like antibiotic	antibiotic target alteration	Abau_gyrA_FLO	2715
ARO:3003818	40508	Fluoroquinolone	Acinetobacter baumannii parC conferring resistance to fluoroquinolones	WP_000202252.1	NZ_CP009257.1	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration	Abau_parC_FLO	2220
ARO:3003835	40526	Multidrug	cdeA	CAE00499.1	AJ574887.1	multidrug and toxic compound extrusion (MATE) transporter	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	cdeA	1326
ARO:3003836	40527	Disinfecting agents and antiseptics	qacH	CAA76544.1	Y16945.1	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	qacH	324
ARO:3003838	40529	Multidrug	gadW	ANK04027.1	CP015085.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam	antibiotic efflux	gadW	729
ARO:3003841	40534	Aminoglycoside	kdpE	AAC73788.1	U00096.3	kdpDE	aminoglycoside antibiotic	antibiotic efflux	kdpE	678
ARO:3003842	40535	Beta-lactams	MUS-2	AKN19901.1	KP658209.1	MUS beta-lactamase	carbapenem;penicillin beta-lactam	antibiotic inactivation	MUS-2	741
ARO:3003853	40552	Beta-lactams	ADC-7	AAT70411.1	AY648950.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation	ADC-7	1152
ARO:3003854	40553	Beta-lactams	ADC-8	CAL25116.3	AM293332.3	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation	ADC-8	1194
ARO:3003862	40561	Beta-lactams	ADC-18	CAK95243.1	AM283523.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation	ADC-18	1152
ARO:3003870	40569	Beta-lactams	ADC-31	ADX04315.1	CP001921.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation	ADC-31	1152
ARO:3003893	40595	Phosphonic acid	Escherichia coli uhpA with mutation conferring resistance to fosfomycin	CDJ73205.1	HG738867.1	antibiotic-resistant UhpT	phosphonic acid antibiotic	antibiotic target alteration	Ecol_uhpA_FOF	591
ARO:3003894	40596	Beta-lactams	Rm3	AGU01679.2	KF485393.2	Rm3 family beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	Rm3	909
ARO:3003895	40597	Multidrug	Pseudomonas mutant PhoP conferring resistance to colistin	AAG04568.1	AE004091.2	ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase;transmembrane protein conferring colistin resistance	macrolide antibiotic;peptide antibiotic	antibiotic efflux;antibiotic target alteration;resistance by absence	Paer_PhoP_CST	678
ARO:3003899	40601	Phosphonic acid	Escherichia coli PtsI with mutation conferring resistance to fosfomycin	CDJ72759.1	HG738867.1	antibiotic-resistant ptsI phosphotransferase	phosphonic acid antibiotic	antibiotic target alteration	Ecol_PtsI_FOF	1728
ARO:3003901	40603	Phosphonic acid	Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin	CAG39357.1	BX571856.1	antibiotic-resistant GlpT	phosphonic acid antibiotic	antibiotic target alteration	Saur_GlpT_FOF	1359
ARO:3003907	40612	Multidrug	cipA	ACX65640.1	CP001793.1	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic	antibiotic target alteration	cipA	1041
ARO:3003908	40614	MLS	Erm(47)	ANZ79476.1	KU612222.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(47)	741
ARO:3003918	40626	Aminoglycoside	apmA	CBL58181.1	FN806789.3	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	apmA	825
ARO:3003920	40628	Peptide	pgpB	BAG33043.1	AP009380.1	lipid A phosphatase	peptide antibiotic	antibiotic target alteration	pgpB	711
ARO:3003922	40631	Multidrug	oqxA	AAP43109.1	EU370913.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic	antibiotic efflux	oqxA	1176
ARO:3003923	40632	Multidrug	oqxB	AAP43110.2	EU370913.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic	antibiotic efflux	oqxB	3153
ARO:3003937	40660	Beta-lactams	Neisseria meningititis PBP2 conferring resistance to beta-lactam	AAF40852.1	AE002098.2	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target alteration	Nmen_PBP2_BLA	1746
ARO:3003941	40666	Fluoroquinolone	Shigella flexneri parC conferring resistance to fluoroquinolones	AAN44541.1	AE005674.2	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration	Sfle_parC_FLO	2259
ARO:3003942	40695	Multidrug	abcA	XP_753111.1	XM_748018.1	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin;penicillin beta-lactam;peptide antibiotic	antibiotic efflux	abcA	4359
ARO:3003948	40703	Multidrug	efrA	WP_104671188.1	NZ_PTWF01000025.1	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	efrA	1728
ARO:3003949	40704	Multidrug	efrB	CDO61516.1	HG970103.1	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	efrB	1086
ARO:3003950	40720	Nitroimidazole	msbA	AAC74000.1	U00096.3	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux	msbA	1749
ARO:3003952	40722	Peptide	YojI	AAC75271.1	U00096.3	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	YojI	1644
ARO:3003953	40723	Multidrug	hmrM	ADO96486.1	CP002276.1	multidrug and toxic compound extrusion (MATE) transporter	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	hmrM	1395
ARO:3003954	40724	Multidrug	efmA	BAG75524.1	AB467372.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic	antibiotic efflux	efmA	1287
ARO:3003955	40726	Multidrug	efpA	CCP45647.1	AL123456.3	major facilitator superfamily (MFS) antibiotic efflux pump	isoniazid-like antibiotic;rifamycin antibiotic	antibiotic efflux	efpA	1593
ARO:3003961	40732	Antibacterial free fatty acids	farA	AAF40763.1	AE002098.2	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux	farA	1155
ARO:3003962	40733	Antibacterial free fatty acids	farB	AAF40764.1	AE002098.2	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux	farB	1527
ARO:3003964	40735	Multidrug	hp1181	AAD08227.1	AE000511.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;nitroimidazole antibiotic;tetracycline antibiotic	antibiotic efflux	hp1181	1332
ARO:3003967	40738	Fluoroquinolone	lfrA	AAC43550.1	U40487.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	lfrA	1515
ARO:3003969	40740	Multidrug	lmrP	ABF33001.1	CP000259.1	major facilitator superfamily (MFS) antibiotic efflux pump	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic efflux	lmrP	1221
ARO:3003970	40743	Glycopeptide	D-Ala-D-Ala ligase	AAN62561.1	AY168442.1	Van ligase	glycopeptide antibiotic	antibiotic target alteration	Ddl	1056
ARO:3003971	40752	MLS	Erm(44)v	CDL65151.1	HG796218.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(44)v	732
ARO:3003974	40779	Multidrug	Cutibacterium acnes gyrA conferring resistance to fluoroquinolones	AER05434.1	CP003084.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin-like antibiotic	antibiotic target alteration	Cacn_gyrA_FLO	2676
ARO:3003980	40861	Tetracycline	tetA(58)	APB03214.1	KX531044.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tetA(58)	1032
ARO:3003981	40863	Tetracycline	tetB(58)	APB03215.1	KX531045.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tetB(58)	816
ARO:3003982	40864	MLS	LlmA 23S ribosomal RNA methyltransferase	APB03216.1	KX531046.1	Llm 23S ribosomal RNA methyltransferase	lincosamide antibiotic	antibiotic target alteration	LlmA_23S_CLI	864
ARO:3003984	40866	Peptide	BahA	APB03218.1	KX531048.1	Bah amidohydrolase	peptide antibiotic	antibiotic inactivation	BahA	2259
ARO:3003986	40868	Pleuromutilin	TaeA	APB03219.1	KX531049.1	ATP-binding cassette (ABC) antibiotic efflux pump	pleuromutilin antibiotic	antibiotic efflux	TaeA	1947
ARO:3003987	40869	MLS	VatI	APB03220.1	KX531050.1	streptogramin vat acetyltransferase	streptogramin A antibiotic;streptogramin antibiotic	antibiotic inactivation	VatI	633
ARO:3003988	40870	Aminoglycoside	AAC(2')-IIb	APB03221.1	KX531051.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	AAC(2')-IIb	723
ARO:3003989	40871	Aminoglycoside	AAC(6')-34	APB03223.1	KX531053.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-34	594
ARO:3003990	40872	MLS	vgbC	APB03225.1	KX531055.1	streptogramin vgb lyase	streptogramin B antibiotic;streptogramin antibiotic	antibiotic inactivation	vgbC	891
ARO:3003991	40873	MLS	mphI	APB03226.1	KX531056.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	mphI	927
ARO:3003992	40874	Rifamycin	rphB	APB03222.1	KX531052.1	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation	rphB	2655
ARO:3003994	40876	Aminoglycoside	cpaA	APB03224.1	KX531054.1	cpa acetyltransferase	aminoglycoside antibiotic	antibiotic inactivation	cpaA	486
ARO:3003995	40901	Multidrug	Clostridioides difficile gyrA conferring resistance to fluoroquinolones	CAJ66820.1	AM180355.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin-like antibiotic	antibiotic target alteration	Cdif_gyrA_FLO	2427
ARO:3004032	41064	Tetracycline	tetA(46)	AET10444.1	HQ652506.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tetA(46)	1725
ARO:3004033	41066	Tetracycline	tetB(46)	AET10445.1	HQ652506.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tetB(46)	1737
ARO:3004035	41068	Tetracycline	tetA(60)	ANZ79240.1	KX000272.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tetA(60)	1740
ARO:3004036	41069	Tetracycline	tetB(60)	ANZ79241.1	KX000273.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tetB(60)	1740
ARO:3004038	41082	Aminoglycoside	Pseudomonas aeruginosa emrE	AAG08375.1	AE004091.2	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	Paer_emrE	333
ARO:3004039	41083	MLS	Escherichia coli emrE	CAA77936.1	Z11877.1	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	Ecol_emrE	333
ARO:3004041	41088	Multidrug	Klebsiella pneumoniae acrA	CAC41008.1	AJ318073.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	Kpne_acrA	1197
ARO:3004042	41089	Multidrug	Enterobacter cloacae acrA	ABG77965.1	DQ679966.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	Eclo_acrA	1194
ARO:3004043	41090	Multidrug	Escherichia coli acrA	AAC73565.1	U00096.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	Ecol_acrA	1194
ARO:3004045	41097	Multidrug	Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan	AAC74370.1	U00096.3	antibiotic resistant fabI	disinfecting agents and antiseptics;isoniazid-like antibiotic	antibiotic target alteration	Ecol_fabI_MULT	789
ARO:3004049	41114	Disinfecting agents and antiseptics	Escherichia coli fabG mutations conferring resistance to triclosan	AAC74177.1	U00096.3	antibiotic resistant fabG	disinfecting agents and antiseptics	antibiotic target alteration	Ecol_fabG_TRC	735
ARO:3004054	41119	Multidrug	Pseudomonas aeruginosa CpxR	SIP52035.1	LT673656.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	Paer_CpxR	678
ARO:3004059	41125	Multidrug	Type A NfxB	AAG07988.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	Type_A_NfxB	564
ARO:3004063	41130	Multidrug	EdeQ	AHH86051.1	KC771276.1	Edeine acetyltransferase	peptide antibiotic;polyamine antibiotic	antibiotic inactivation	EdeQ	438
ARO:3004072	41154	Multidrug	OpmB	AAG05913.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux	OpmB	1497
ARO:3004073	41155	Multidrug	MuxA	AAG05916.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux	MuxA	1281
ARO:3004074	41156	Multidrug	MuxB	AAG05915.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux	MuxB	3132
ARO:3004075	41158	Multidrug	MuxC	AAG05914.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux	MuxC	3111
ARO:3004077	41170	Multidrug	PmpM	AAG04750.1	AE004091.2	multidrug and toxic compound extrusion (MATE) transporter	aminoglycoside antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	PmpM	1434
ARO:3004085	41189	MLS	lnuG	APU52409.1	KX470419.1	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	lnuG	804
ARO:3004090	41196	Aminoglycoside	ANT(3'')-IIb	ENU91137.1	APPC01000022.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')-IIb	792
ARO:3004091	41197	Aminoglycoside	ANT(3'')-IIc	ESK39014.1	AYEQ01000163.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')-IIc	789
ARO:3004092	41198	Beta-lactams	HMB-1	AMY61250.1	KU961660.2	HMB beta-lactamase	carbapenem	antibiotic inactivation	HMB-1	726
ARO:3004093	41201	Beta-lactams	NDM-17	AOT73359.1	KX812714.1	NDM beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	NDM-17	813
ARO:3004094	41202	MLS	Erm(48)	CZT31773.1	LT223129.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(48)	732
ARO:3004099	41207	MLS	LpeA	CAH14032.1	CR628336.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	LpeA	1068
ARO:3004100	41209	MLS	LpeB	CAH14033.1	CR628336.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	LpeB	3045
ARO:3004102	41213	Aminoglycoside	kamB	WP_063964000.1	NG_050561.1	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration	kamB	648
ARO:3004103	41215	Fluoroquinolone	QepA2	ACF70723.1	EU847537.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	QepA2	1536
ARO:3004105	41217	Beta-lactams	TMB-1	CBY88906.1	FR771847.1	TMB beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	TMB-1	738
ARO:3004107	41228	Multidrug	Pseudomonas aeruginosa soxR	AAG05661.1	AE004091.2	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux;antibiotic target alteration	Paer_soxR	471
ARO:3004110	41231	Peptide	MCR-2.1	SBV31106.1	LT598652.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-2.1	1617
ARO:3004111	41232	Phosphonic acid	FosA6	AMQ12811.1	KU254579.1	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosA6	420
ARO:3004113	41234	Phosphonic acid	FosA7	KKE03230.1	LAPJ01000014.1	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	FosA7	423
ARO:3004123	41248	Beta-lactams	Burkholderia pseudomallei Omp38	AAP82271.1	AY312416.1	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	reduced permeability to antibiotic	Bpse_Omp38	1122
ARO:3004142	41270	Multidrug	OprZ	EGP45230.2	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic	antibiotic efflux	OprZ	1392
ARO:3004143	41272	Multidrug	AxyX	EGP45232.2	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic	antibiotic efflux	AxyX	1176
ARO:3004144	41273	Multidrug	AxyY	EGP45231.1	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic	antibiotic efflux	AxyY	3138
ARO:3004145	41274	Multidrug	AxyZ	EGP45233.1	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic	antibiotic efflux;antibiotic target alteration	AxyZ	639
ARO:3004146	41275	Multidrug	cfrC	CAL84423.1	AM412317.1	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic	antibiotic target alteration	cfrC	1035
ARO:3004153	41300	Salicylic acid	Mycobacterium tuberculosis thyA with mutation conferring resistance to para-aminosalicylic acid	NP_217280.1	NC_000962.3	aminosalicylate resistant thymidylate synthase	salicylic acid antibiotic	antibiotic target alteration	Mtub_thyA_PAS	792
ARO:3004157	41304	Salicylic acid	Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid	NP_216963.1	NC_000962.3	aminosalicylate resistant dihydrofolate synthase	salicylic acid antibiotic	antibiotic target alteration	Mtub_folC_PAS	1464
ARO:3004185	41338	Beta-lactams	mecD	AQX82857.1	KY013611.1	methicillin resistant PBP2	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target replacement	mecD	2037
ARO:3004189	41353	Beta-lactams	Bla2	AAR20596.1	AY453162.1	subclass B1 Bacillus anthracis Bla beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	Bla2	771
ARO:3004191	41355	Aminoglycoside	APH(2'')-If	AAW34150.1	AY701528.1	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')-If	894
ARO:3004253	41417	Glycopeptide	vanU gene in vanG cluster	ABA71726.1	DQ212986.1	glycopeptide resistance gene cluster;vanU	glycopeptide antibiotic	antibiotic target alteration	vanU_in_vanG_cl	228
ARO:3004289	41453	Beta-lactams	Vibrio cholerae varG	AAF94716.1	AE003852.1	Subclass B1 Vibrio cholerae varG beta-lactamase	carbapenem	antibiotic inactivation	Vcho_varG	1173
ARO:3004290	41454	Beta-lactams	Escherichia coli ampC beta-lactamase	AAC77110.1	U00096.3	ampC-type beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	Ecol_ampC_BLA	1134
ARO:3004291	41455	Beta-lactams	Rhodobacter sphaeroides ampC beta-lactamase	ABA81355.1	CP000144.2	ampC-type beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	Rsph_ampC_BLA	1143
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARO:3004294	41460	Beta-lactams	BUT-1	AAN17791.1	AF440406.1	BUT beta-lactamase	cephalosporin	antibiotic inactivation	BUT-1	1194
ARO:3004325	41492	Peptide	MCR-4.1	ASR73329.1	MF543359.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-4.1	1626
ARO:3004332	41500	Peptide	MCR-5.1	ASK40551.1	KY807920.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-5.1	1644
ARO:3004345	41513	Beta-lactams	PDC-82	AKR18022.1	KR057751.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation	PDC-82	1116
ARO:3004361	41534	Sulfonamide	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	sul4	864
ARO:3004364	41538	Peptide	almG	AAF94731.1	AE003852.1	lipid A acyltransferase;polymyxin resistance operon	peptide antibiotic	antibiotic target alteration	almG	822
ARO:3004379	41553	Fluoroquinolone	QepA4	AQX36338.1	KX686116.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	QepA4	1536
ARO:3004441	41632	Tetracycline	tet(59)	AMP42492.1	KU736879.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(59)	1203
ARO:3004442	41634	Tetracycline	tet(W/N/W)	AMP42147.1	KU736867.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	tet(W/N/W)	1920
ARO:3004444	41637	Beta-lactams	RSA1-1	AUW34365.1	MG739510.1	RSA beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	RSA1-1	858
ARO:3004446	41639	Beta-lactams	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	AAC22787.1	L42023.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target alteration	Hinf_PBP3_BLA	1833
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARO:3004450	41645	Beta-lactams	TRU-1	ABW05394.1	EU046614.1	TRU beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	TRU-1	1149
ARO:3004451	41662	Phenicol	Agrobacterium fabrum chloramphenicol acetyltransferase	AAA22081.1	M58472.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	Afab_ACT_CHL	630
ARO:3004466	41682	Peptide	ICR-Mc	EGE18576.1	AERH01000018.1	intrinsic colistin resistant phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ICR-Mc	1737
ARO:3004470	41688	Multidrug	poxtA	AVI44920.1	MF095097.1	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	oxazolidinone antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic target protection	poxtA	1629
ARO:3004476	41736	Multidrug	vmlR	NP_388442.1	NC_000964.3	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic;nucleoside antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target protection	vmlR	1644
ARO:3004480	41743	Multidrug	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	WP_041777404.1	NC_008618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	Bado_rpoB_RIF	3561
ARO:3004493	42027	Beta-lactams	ADC-68	AGL39360.1	KC866352.1	ADC beta-lactamase with carbapenemase activity	carbapenem	antibiotic inactivation	ADC-68	1152
ARO:3004495	42029	Beta-lactams	IMP-56	ALT53802.1	KU315553.1	IMP beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	IMP-56	741
ARO:3004501	42206	Peptide	MCR-6.1	ASK49942.1	MF176240.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-6.1	1617
ARO:3004502	42208	Peptide	MCR-2.2	ASK49941.1	MF176239.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-2.2	1617
ARO:3004505	42213	Peptide	MCR-3.5	ASU04896.1	MF489760.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-3.5	1626
ARO:3004506	42214	Peptide	MCR-1.10	ASK49940.1	MF176238.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-1.10	1626
ARO:3004516	42225	Peptide	MCR-8.1	AVX52225.1	MG736312.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-8.1	1698
ARO:3004517	42226	Peptide	MCR-7.1	AUR80098.1	MG267386.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-7.1	1620
ARO:3004539	42409	MLS	mphH	ACU86041.1	CP001643.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	mphH	897
ARO:3004541	42412	MLS	mphK	AJE92936.1	CP010314.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	mphK	921
